Gene_set_name	Reference(PMID or DOI)	Source	Notes	
Neftel_AC_sub	"10.1016/j.cell.2019.06.024,Ajaib_unpublished"	Ajaib_unpublished	Taken from the neftel signatures but filtered for those that are good markers in the discovery bulk data and are tumour intrinsic.	
Neftel_OPC_sub	"10.1016/j.cell.2019.06.024,Ajaib_unpublished"	Ajaib_unpublished	Taken from the neftel signatures but filtered for those that are good markers in the discovery bulk data and are tumour intrinsic.	
Neftel_NPC_sub	"10.1016/j.cell.2019.06.024,Ajaib_unpublished"	Ajaib_unpublished	Taken from the neftel signatures but filtered for those that are good markers in the discovery bulk data and are tumour intrinsic.	
Allen_1_InhL1LAMP5NDNF	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_10_InhL1PAX6GRIP2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_100_ExcL6FEZF2TBC1D26	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_101_ExcL6FEZF2KRT17	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_102_ExcL3_5FEZF2ONECUT1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_103_ExcL3_5FEZF2DCN	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_104_ExcL5FEZF2MORN2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_105_ExcL5FEZF2SCN7A	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_106_ExcL5_6FEZF2CABP7	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_107_ExcL5FEZF2DYRK2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_108_ExcL5_6FEZF2MYBPHL	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_109_ExcL5_6FEZF2CYP26B1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_11_InhL1_6VIPRCN1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_110_ExcL5_6FEZF2RSAD2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_111_AstroL1_6FGFR3ETNPPL	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_112_AstroL1FGFR3MT1G	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_113_AstroL1FGFR3FOS	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_114_OPCL1_6MYT1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_115_OligoL4_6MOBPCOL18A1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_116_OligoL4_6OPALIN	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_12_InhL1_3PAX6NABP1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_13_InhL1VIPPRSS8	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_14_InhL1VIPTNFAIP8L3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_15_InhL1ADARB2ADAM33	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_16_InhL1SSTCXCL14	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_17_InhL1ADARB2DISP2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_18_InhL1VIPSOX11	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_19_InhL1_5VIPKCNJ2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_2_InhL1LAMP5GGT8P	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_20_InhL1_6VIPPENK	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_21_InhL1_6VIPRGS16	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_22_InhL2_6VIPVIP	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_23_InhL3_6VIPKCTD13	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_24_InhL1VIPPCDH20	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_25_InhL1_2VIPPPAPDC1A	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_26_InhL2_4VIPDSEL	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_27_InhL2_5VIPTOX2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_28_InhL1_3VIPZNF322P1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_29_InhL3VIPCBLN1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_3_InhL1_4LAMP5DUSP4	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_30_InhL1_3VIPGGH	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_31_InhL1_3VIPACHE	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_32_InhL1_2VIPRPL41P3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_33_InhL1_3VIPSSTR1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_34_InhL1_3VIPCCDC184	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_35_InhL2_4VIPLGI2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_36_InhL1_4VIPCHRNA2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_37_InhL6SSTNPY	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_38_InhL5_6SSTISOC1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_39_InhL5_6SSTKLHL14	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_4_InhL6LAMP5C1QL2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_40_InhL4_6SSTMTHFD2P6	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_41_InhL3_5SSTMAFB	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_42_InhL4_5PVALBTRIM67	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_43_InhL5_6SSTTH	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_44_InhL6LHX6GLP1R	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_45_InhL5_6PVALBFAM150B	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_46_InhL2_4SSTAHR	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_47_InhL1_2PVALBTAC1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_48_InhL1_3PVALBWFDC2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_49_InhL2_4PVALBC8orf4	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_5_InhL1_6LAMP5CA13	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_50_InhL5PVALBCNTNAP3P2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_51_InhL5_6PVALBSTON2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_52_InhL3_4PVALBHOMER3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_53_InhL1_6PVALBSCUBE3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_54_InhL3_6PVALBMFI2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_55_ExcL2_4RORBGRIK1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_56_ExcL3_4RORBRPS3P6	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_57_ExcL4RORBBHLHE22	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_58_ExcL4RORBCCDC168	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_59_ExcL4RORBCACNG5	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_6_InhL5_6LAMP5SFTA3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_60_ExcL4_5RORBASCL1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_61_ExcL4_5RORBAIM2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_62_ExcL3LINC00507CTXN3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_63_ExcL3THEMISPLA2G7	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_64_ExcL3_5THEMISELOF1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_65_ExcL2_3LINC00507RPL9P17	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_66_ExcL3LINC00507PSRC1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_67_ExcL3_5LINC00507SLN	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_68_ExcL3RORBCARTPT	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_69_ExcL3_4RORBFOLH1B	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_7_InhL1_2PAX6SCGN	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_70_ExcL3_4RORBPRSS12	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_71_ExcL3_4RORBSEMA6D	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_72_ExcL3_5RORBHSPB3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_73_ExcL5_6THEMISOR1J1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_74_ExcL6THEMISEGR3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_75_ExcL5_6THEMISTMEM233	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_76_ExcL6THEMISLINC00343	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_77_ExcL3_5RORBCMAHP	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_78_ExcL3_5RORBCD24	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_79_ExcL4_5RORBLCN15	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_8_InhL6LAMP5ANKRD20A11P	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_80_ExcL3_5THEMISUBE2F	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_81_ExcL5RORBSNHG7	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_82_ExcL4_5RORBRPL31P31	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_83_ExcL4_5RORBHNRNPA1P46	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_84_ExcL4_5RORBLINC01474	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_85_ExcL4_6RORBHPCA	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_86_ExcL5_6RORBLINC00320	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_87_ExcL5RORBLINC01202	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_88_ExcL6THEMISC6orf48	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_89_ExcL5_6THEMISGPR21	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_9_InhL1PAX6CA4	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_90_ExcL5_6THEMISTHTPA	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_91_ExcL5_6THEMISIL7R	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_92_ExcL6FEZF2VWA2	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_93_ExcL5_6FEZF2ANKRD20A1	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_94_ExcL6FEZF2FAM95C	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_95_ExcL6FEZF2CPZ	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_96_ExcL6FEZF2P4HA3	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_97_ExcL6FEZF2SLITRK6	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_98_ExcL6FEZF2TBCC	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Allen_99_ExcL6FEZF2ETV4	-	Larson_2021_10.15252/msb.202010105	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_ctx_smart-seq/metadata.csv	
Almstedt_11q_msigdb	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_17q_msigdb	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_1p36	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_ALK	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_core_diff	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_NHR_diff	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_risk	-	Larson_2021_10.15252/msb.202010105	-	
Almstedt_VGR_diff	-	Larson_2021_10.15252/msb.202010105	-	
Anastassiou_multicancer_invasiveness_PMID_22208948	-	Larson_2021_10.15252/msb.202010105	-	
angiogenesis_GO_0001525	-	Larson_2021_10.15252/msb.202010105	-	
Astrocytes_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
Darmanis_periphery_PMID_29091775	-	Larson_2021_10.15252/msb.202010105	-	
dePreter_high_NB_risk	-	Larson_2021_10.15252/msb.202010105	-	
dePreter_low_NB_risk	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_G1	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_G2.M	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_lateG1	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_lowRNA	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_M.earlyG1	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_Neural.G0	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_S.G2	-	Larson_2021_10.15252/msb.202010105	-	
Feldman_2020_S	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_alcoholaddiction_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_alcoholaddiction_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_autism_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_autism_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_bipolar_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_bipolar_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_depression_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_depression_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_IBD_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_IBD_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_schizophrenia_dn_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Gandal_schizophrenia_up_PMID29439242	-	Larson_2021_10.15252/msb.202010105	-	
Garofano_Iavarone_GPM_subtype	-	Larson_2021_10.15252/msb.202010105	-	
Garofano_Iavarone_List_of_neural_progenitor_marker_genes	-	Larson_2021_10.15252/msb.202010105	-	
Garofano_Iavarone_MTC_subtype	-	Larson_2021_10.15252/msb.202010105	-	
Garofano_Iavarone_NEU_subtype	-	Larson_2021_10.15252/msb.202010105	-	
Garofano_Iavarone_PPR_subtype	-	Larson_2021_10.15252/msb.202010105	-	
Glioma_stemness_PMID_29276782	-	Larson_2021_10.15252/msb.202010105	-	
Immature_neurons_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
intermediate_progenitors_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
IVY_CT	-	Larson_2021_10.15252/msb.202010105	-	
IVY_CTmvp	-	Larson_2021_10.15252/msb.202010105	-	
IVY_CTpan	-	Larson_2021_10.15252/msb.202010105	-	
IVY_Infiltrating	-	Larson_2021_10.15252/msb.202010105	-	
IVY_LeadingEdge	-	Larson_2021_10.15252/msb.202010105	-	
Johansson_PI_resistance_unpub	-	Larson_2021_10.15252/msb.202010105	-	
Kling_GBM_pheno_PMID_27667176	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state1_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state5_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state3_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state2_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state6_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Larsson_state4_pmid34528760	-	Larson_2021_10.15252/msb.202010105	-	
Mature_neurons_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
Mature_oligodendrocytes_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
Microglia_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
Neuroepithelial_cells_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
Oligodendrocyte_precursor_cells_RNAscope	-	Larson_2021_10.15252/msb.202010105	-	
outerRadialGlia	-	Larson_2021_10.15252/msb.202010105	-	
parada_T1_DN_26461091	-	Larson_2021_10.15252/msb.202010105	2 GBM subtypes arising from functionally independent pools of adult CNS progenitors.	
parada_T1_UP_26461091	-	Larson_2021_10.15252/msb.202010105	2 GBM subtypes arising from functionally independent pools of adult CNS progenitors.	
parada_T2_DN_26461091	-	Larson_2021_10.15252/msb.202010105	2 GBM subtypes arising from functionally independent pools of adult CNS progenitors.	
parada_T2_UP_26461091	-	Larson_2021_10.15252/msb.202010105	2 GBM subtypes arising from functionally independent pools of adult CNS progenitors.	
